,index,Year,Period,Avg hrs per day sleeping,Standard Error,Type of Days,Age Group,Activity,Sex,Rank
920,920,2008,Annual,9.31,0.099,Weekend days and holidays,65 years and over,Sleeping,Women,1.0
921,921,2009,Annual,9.21,0.083,Weekend days and holidays,65 years and over,Sleeping,Women,6.0
922,922,2010,Annual,9.22,0.094,Weekend days and holidays,65 years and over,Sleeping,Women,5.0
923,923,2011,Annual,9.29,0.094,Weekend days and holidays,65 years and over,Sleeping,Women,3.0
924,924,2012,Annual,9.06,0.104,Weekend days and holidays,65 years and over,Sleeping,Women,13.0
925,925,2013,Annual,9.06,0.091,Weekend days and holidays,65 years and over,Sleeping,Women,13.0
926,926,2014,Annual,9.13,0.094,Weekend days and holidays,65 years and over,Sleeping,Women,9.0
927,927,2015,Annual,9.3,0.0859999999999999,Weekend days and holidays,65 years and over,Sleeping,Women,2.0
928,928,2016,Annual,9.1,0.081,Weekend days and holidays,65 years and over,Sleeping,Women,11.0
929,929,2017,Annual,9.15,0.1,Weekend days and holidays,65 years and over,Sleeping,Women,8.0
930,930,2003,Annual,8.7,0.06,Nonholiday weekdays,65 years and over,Sleeping,Women,45.0
931,931,2004,Annual,8.88,0.071,Nonholiday weekdays,65 years and over,Sleeping,Women,32.0
932,932,2005,Annual,8.81,0.081,Nonholiday weekdays,65 years and over,Sleeping,Women,40.0
933,933,2006,Annual,8.77,0.097,Nonholiday weekdays,65 years and over,Sleeping,Women,44.0
934,934,2007,Annual,8.82,0.0879999999999999,Nonholiday weekdays,65 years and over,Sleeping,Women,38.0
935,935,2008,Annual,8.79,0.0859999999999999,Nonholiday weekdays,65 years and over,Sleeping,Women,42.0
936,936,2009,Annual,8.86,0.083,Nonholiday weekdays,65 years and over,Sleeping,Women,34.0
937,937,2010,Annual,8.96,0.092,Nonholiday weekdays,65 years and over,Sleeping,Women,22.0
938,938,2011,Annual,9.02,0.085,Nonholiday weekdays,65 years and over,Sleeping,Women,17.0
939,939,2012,Annual,8.79,0.0889999999999999,Nonholiday weekdays,65 years and over,Sleeping,Women,42.0
940,940,2013,Annual,8.83,0.085,Nonholiday weekdays,65 years and over,Sleeping,Women,36.0
941,941,2014,Annual,8.98,0.0859999999999999,Nonholiday weekdays,65 years and over,Sleeping,Women,19.0
942,942,2015,Annual,8.83,0.0739999999999999,Nonholiday weekdays,65 years and over,Sleeping,Women,36.0
943,943,2016,Annual,8.92,0.071,Nonholiday weekdays,65 years and over,Sleeping,Women,28.0
944,944,2017,Annual,8.81,0.091,Nonholiday weekdays,65 years and over,Sleeping,Women,40.0
